n,pearson_r,pearson_p,pearson_r2,spearman_r,spearman_p,spearman_r2,rmse,mae,fold,evaluation_unit,n_features,n_genotypes_train,n_genotypes_test,best_params
168,0.8075676286891281,6.555682606791755e-40,0.6521654749065815,0.7741154101417647,8.685549988100807e-35,0.5992546682189526,0.3865150135708384,0.3192335334624626,1,image,1024,439,92,"{""rf__bootstrap"": false, ""rf__max_depth"": 37, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 20, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 800}"
168,0.8342279445053484,9.013408677936134e-45,0.6959362633936187,0.8026458362760294,4.278565995546547e-39,0.6442403384912465,0.4205037756619598,0.3455854434221765,2,image,1024,423,108,"{""rf__bootstrap"": false, ""rf__max_depth"": 64, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 800}"
168,0.8185302133868949,8.212880953143372e-42,0.6699917102271957,0.7688422038939728,4.636905954961312e-34,0.5911183344885413,0.49175538375539507,0.38707232123532004,3,image,1024,421,110,"{""rf__bootstrap"": false, ""rf__max_depth"": 37, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 20, ""rf__min_samples_split"": 2, ""rf__n_estimators"": 700}"
168,0.7727525318567786,1.3448671734660813e-34,0.5971464754910616,0.7676133213540679,6.807387336760017e-34,0.5892302111202236,0.48122106222120214,0.3632275232142044,4,image,1024,421,110,"{""rf__bootstrap"": false, ""rf__max_depth"": 28, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 1000}"
168,0.8195028208763719,5.489691548086861e-42,0.6715848734243309,0.7457953033622852,4.288005128459512e-31,0.556210634517243,0.41014649893680866,0.325781319438993,5,image,1024,420,111,"{""rf__bootstrap"": false, ""rf__max_depth"": 82, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 2, ""rf__n_estimators"": 900}"
