genotype,human_score_blue
SC0777,2.7268592093902635
SC0814,2.806889477441288
SC0823,2.486319669841646
SC0834,3.1139062576400063
SC0837,1.872491648479099
SC0847,3.408085180804821
SC0848,2.874651164913807
SC0854,2.2638446351578807
SC0858,2.191596596288732
SC0860,2.6584775205559428
SC0864,3.157229629181125
SC0868,2.081347330844659
SC0870,2.200857944771357
SC0871,3.708100848434017
SC0877,2.3759418676762127
SC0893,1.5440566781474216
SC0914,1.7534350955033224
SC0921,2.1712129619493052
SC0923,2.9832695266283222
SC0965,2.91447427435263
SC0999,2.2668294632017143
SC1021,2.314084124641946
SC1023,3.133265890736887
SC1024,2.4601748173841167
SC1058,2.967694617848122
SC1082,2.6188620457077194
SC1097,1.733888246613975
SC1107,1.895096340011023
SC1114,2.8892011769802446
SC1119,2.619592777808003
SC1120,2.4647908659208486
SC1133,2.286408654438686
SC1166,2.486419958907758
SC1170,2.695211076916114
SC1178,2.4470464352465475
SC1193,3.0376630466391292
SC1216,2.1424235392690667
SC1442,2.005944156260212
SC1446,2.309593452769274
