trait,environment,broad_sense_h2,genotype_vcov,residual_vcov,phenotypic_v_for_h2,total_vcov,mean_environments_per_genotype_harmonic,mean_plot_reps_per_genotype_environment_harmonic,mean_plot_reps_per_genotype_harmonic,genotype_x_environment_vcov,n_plot_means,n_genotypes,model,heritability_method,converged,has_warning,boundary_solution,boundary_vcov_sources,genotype_boundary,singular,h2_reliable,status,warning,error
embedding_mean_706,Nebraska2025,0.3926266405805729,0.0007417008029443538,0.0020255786280050222,0.0018890740624416332,0.0033449385155041975,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_707,Nebraska2025,0.534417202209584,0.002025529616589505,0.003115297139924701,0.0037901654516636365,0.00613976324980978,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_708,Nebraska2025,0.4667348702378282,0.001516383053449427,0.003058625054395795,0.003248917426454001,0.006530111205632091,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_709,Nebraska2025,0.4244871556887922,0.0008165858046491369,0.0019545045012658033,0.0019236996778479848,0.003696483501857794,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_710,Nebraska2025,0.4360087158302839,0.0006565220132328634,0.0014992390868179876,0.0015057543333340476,0.0029017815748369237,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_711,Nebraska2025,0.5931603378499208,0.0017675994096417048,0.0021403234560288084,0.0029799689845225897,0.006708189636207234,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_712,Nebraska2025,0.47643335692401223,0.002192527548034772,0.004253625489180478,0.004601960622972218,0.007074585724715313,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_713,Nebraska2025,0.41851728964686247,0.0004310247088940561,0.0010572311514183569,0.0010298850717917704,0.0017401068860101823,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_714,Nebraska2025,0.1861316691590609,0.00024110062320911214,0.00186112949841648,0.0012953229522864103,0.0024125519078434157,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_715,Nebraska2025,0.40838991113977796,0.000510500422060463,0.0013055726820539021,0.0012500319134615841,0.0020715405054671414,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_716,Nebraska2025,0.39334869046501963,0.0005034945901992949,0.0013708837277421398,0.001280021015461015,0.0023499154866135925,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_717,Nebraska2025,0.30711302005394614,0.00032744707760878715,0.0013042164470777836,0.00106621034025607,0.0024450201652850534,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_718,Nebraska2025,0.39731040153457037,0.0004883685622697766,0.0013078436938736436,0.0012291864506529492,0.0026454396185700713,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_719,Nebraska2025,0.43861990425004627,0.0009256161180995954,0.0020914330421758004,0.0021102920983082536,0.0048053366403923116,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_720,Nebraska2025,0.48058615578703073,0.0008503793603194796,0.0016225547412880776,0.0017694628737834903,0.002745220051674487,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_721,Nebraska2025,0.43721523298194215,0.0011523393556131937,0.0026186160509736245,0.002635634050885843,0.0041952760222429275,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_722,Nebraska2025,0.5440107582006789,0.0028456545864720914,0.004210887834484862,0.005230879249307721,0.008570837127818014,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_723,Nebraska2025,0.5175401674156653,0.0012823796986632919,0.0021104648140935147,0.0024778360780513898,0.004282162103267563,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_724,Nebraska2025,0.5547519752404463,0.001966061526441833,0.0027857659829849894,0.0035440370006608493,0.007605108960418805,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,block,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_725,Nebraska2025,0.3112002901073814,0.00045089234969186866,0.001761855193865623,0.0014488815210817628,0.002730051558210125,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_726,Nebraska2025,0.589055043899808,0.0013834865735613234,0.00170391178244208,0.0023486541502166303,0.00346858153913847,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_727,Nebraska2025,0.42659530111190636,0.00225408125576658,0.005348834121094684,0.00528388674205129,0.00916410787315745,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_728,Nebraska2025,0.4026319805992363,0.0007602187460014611,0.001991208134083541,0.0018881231065401938,0.0032438110548503128,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_729,Nebraska2025,0.5099877307983841,0.0031635872934556728,0.005366256540266058,0.006203261573573716,0.009887881445976715,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_730,Nebraska2025,0.4362245483977486,0.0012296601143628387,0.002805598548531807,0.0028188695910841706,0.005463985749194734,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_731,Nebraska2025,0.5139170627749728,0.019449143524899914,0.03247597531303966,0.03784490715268593,0.055941277176608156,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_732,Nebraska2025,0.5275457366663534,0.0021526074837596157,0.003403367775923107,0.0040804186900690155,0.006582666256847482,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,block,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_733,Nebraska2025,0.47997877012687645,0.0006121197033229608,0.0011707921088196494,0.001275305787297956,0.0019972701134537115,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_734,Nebraska2025,0.5284563667516464,0.0016526740728709732,0.0026034206590865245,0.003127361456594324,0.00510125627209573,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,block,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_735,Nebraska2025,0.5166352554354037,0.0015333319769493582,0.002532628596942075,0.002967919747670172,0.0067832168261664876,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_mean_736,Nebraska2025,0.3951118234938004,0.0006886796501900891,0.0018613013912329572,0.001742999346616351,0.0028654289014905963,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_737,Nebraska2025,0.486253105277136,0.0019241267922526881,0.0035889292003900394,0.003957047824210907,0.005722892363680227,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_mean_738,Nebraska2025,0.4998275943474001,0.0019435341340998048,0.0034334921107859514,0.0038884090355943237,0.0069410821538382975,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
