trait,environment,broad_sense_h2,genotype_vcov,residual_vcov,phenotypic_v_for_h2,total_vcov,mean_environments_per_genotype_harmonic,mean_plot_reps_per_genotype_environment_harmonic,mean_plot_reps_per_genotype_harmonic,genotype_x_environment_vcov,n_plot_means,n_genotypes,model,heritability_method,converged,has_warning,boundary_solution,boundary_vcov_sources,genotype_boundary,singular,h2_reliable,status,warning,error
embedding_std_197,Nebraska2025,0.23508696729916814,6.426708306278793e-05,0.0003691615644884469,0.00027337578004059496,0.0005381977935996258,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_198,Nebraska2025,0.22648802794259928,7.456299141743737e-05,0.0004495618967534569,0.0003292138312773622,0.000647192386876006,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_199,Nebraska2025,0.21855722408973702,0.00012125855593127268,0.0007654005828175325,0.0005548137630146938,0.0010762628488038312,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_200,Nebraska2025,0.30966214939570874,8.793659826759128e-05,0.00034608884817834986,0.00028397593454413284,0.0005172047232030129,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_201,Nebraska2025,0.4725673005475815,0.00017248457924173843,0.0003398584245640238,0.00036499474052029005,0.0005276945943971934,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,"block,row",False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_202,Nebraska2025,0.19303773933444737,0.00012272932136245224,0.0009057403515278264,0.0006357788989116665,0.0014744567143342826,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,block,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_203,Nebraska2025,0.22552164499954114,6.22095515866005e-05,0.0003771572903306691,0.000275847365279404,0.0006637825523525411,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,True,block,False,False,True,ok,,
embedding_std_204,Nebraska2025,0.4662670073895753,0.00032849737135195713,0.000663843403181159,0.0007045263039112932,0.001362226694463652,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_205,Nebraska2025,0.12923612425914624,5.8089413039789456e-05,0.0006909678629782103,0.0004494827848853443,0.0010818211279731175,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_206,Nebraska2025,0.14922842147038481,5.885132463183857e-05,0.0005923277133370235,0.0003943707509063073,0.0011195344912872333,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,True,block,False,False,True,ok,,
embedding_std_207,Nebraska2025,0.2300440979648792,0.00016955298078561202,0.001001854303753657,0.000737045559027981,0.0016704494653972516,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_208,Nebraska2025,0.37212394353904626,0.00017565965167171284,0.0005232421318836999,0.0004720460876586438,0.0008311266561384805,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,True,row,False,False,True,ok,,
