image_id,ExG_P20_disease_pct,genotype,score_A,score_B,human_score
1001_LeafPhotoA_2025-09-08 10_30_44.491,0.93,PI533969,2,1.5,1.75
1001_LeafPhotoA_2025-09-08 10_31_01.387,0.01,PI533969,1,1.5,1.25
1001_LeafPhotoA_2025-09-08 10_31_16.660,0.1,PI533969,2.5,NA,2.5
1002_LeafPhotoA_2025-09-08 10_31_39.299,0.02,PI534049,2.5,NA,2.5
1002_LeafPhotoA_2025-09-08 10_31_52.212,0.03,PI534049,1.5,NA,1.5
1002_LeafPhotoA_2025-09-08 10_32_08.178,0.02,PI534049,1.5,NA,1.5
1003_LeafPhotoA_2025-09-08 09_16_15.481,0.05,PI533981,1.5,NA,1.5
1003_LeafPhotoA_2025-09-08 09_18_47.237,0.16,PI533981,2.5,NA,2.5
1003_LeafPhotoA_2025-09-08 09_20_11.247,0.11,PI533981,2,NA,2
1004_LeafPhotoA_2025-09-08 09_21_46.459,0.1,NA,2,NA,2
1004_LeafPhotoA_2025-09-08 09_22_28.681,0.12,NA,2.5,NA,2.5
1004_LeafPhotoA_2025-09-08 09_23_15.296,0.04,NA,1.5,1.5,1.5
1005_LeafPhotoA_2025-09-08 09_35_15.574,0.12,PI533902,1.5,2.5,2
1005_LeafPhotoA_2025-09-08 09_35_34.267,0.08,PI533902,2.5,NA,2.5
1005_LeafPhotoA_2025-09-08 09_36_05.265,0.02,PI533902,2.5,NA,2.5
1006_LeafPhotoA_2025-09-08 09_30_50.026,0.65,PI597965,1.5,NA,1.5
1006_LeafPhotoA_2025-09-08 09_31_43.387,0.34,PI597965,2.5,NA,2.5
1006_LeafPhotoA_2025-09-08 09_36_28.687,0,PI597965,1.5,NA,1.5
1007_LeafPhotoA_2025-09-08 09_36_58.125,1.98,PI533912,3.5,NA,3.5
1007_LeafPhotoA_2025-09-08 09_37_28.704,0.46,PI533912,3,NA,3
1007_LeafPhotoA_2025-09-08 09_37_48.595,0.23,PI533912,3,NA,3
1008_LeafPhotoA_2025-09-08 09_38_43.510,0.02,PI655975,1,1,1
1008_LeafPhotoA_2025-09-08 09_39_01.597,0.01,PI655975,1,NA,1
1008_LeafPhotoA_2025-09-08 09_39_17.372,0,PI655975,1,NA,1
1009_LeafPhotoA_2025-09-08 09_39_52.913,0.61,PI533950,3,NA,3
1009_LeafPhotoA_2025-09-08 09_40_11.883,0.61,PI533950,3,NA,3
1009_LeafPhotoA_2025-09-08 09_40_30.501,0.58,PI533950,3,NA,3
1010_LeafPhotoA_2025-09-08 09_41_20.962,0.98,PI576431,3,NA,3
1010_LeafPhotoA_2025-09-08 09_41_44.218,0.13,PI576431,1.5,2.5,2
1010_LeafPhotoA_2025-09-08 09_42_09.670,0.12,PI576431,3,NA,3
1011_LeafPhotoA_2025-09-08 09_42_35.227,0.02,PI576379,2,2.5,2.25
1011_LeafPhotoA_2025-09-08 09_43_02.719,1.15,PI576379,2,3,2.5
1011_LeafPhotoA_2025-09-08 09_43_19.114,0.02,PI576379,2.5,NA,2.5
1012_LeafPhotoA_2025-09-08 09_43_43.769,0.45,SC0540,2.5,NA,2.5
1012_LeafPhotoA_2025-09-08 09_44_03.312,3.74,SC0540,3.5,NA,3.5
1012_LeafPhotoA_2025-09-08 09_44_21.398,6.67,SC0540,3.5,NA,3.5
1013_LeafPhotoA_2025-09-08 09_44_55.247,0,PI533993,1,NA,1
1013_LeafPhotoA_2025-09-08 09_45_15.101,0,PI533993,1.5,1,1.25
1013_LeafPhotoA_2025-09-08 09_45_36.458,0,PI533993,1.5,NA,1.5
1014_LeafPhotoA_2025-09-08 09_46_05.675,15.35,SC0834,4,3.5,3.75
1014_LeafPhotoA_2025-09-08 09_46_27.231,1.62,SC0834,3,NA,3
1014_LeafPhotoA_2025-09-08 09_46_45.331,6.6,SC0834,3,NA,3
1015_LeafPhotoA_2025-09-08 09_47_54.758,0.03,PI597959,1.5,NA,1.5
1015_LeafPhotoA_2025-09-08 09_48_10.333,0.23,PI597959,2.5,NA,2.5
1015_LeafPhotoA_2025-09-08 09_48_38.527,0.14,PI597959,2.5,NA,2.5
1016_LeafPhotoA_2025-09-08 09_49_16.143,0.88,PI533825,2.5,2.5,2.5
1016_LeafPhotoA_2025-09-08 09_49_32.371,0.07,PI533825,1,NA,1
1016_LeafPhotoA_2025-09-08 09_49_45.693,0.11,PI533825,1.5,3,2.25
1017_LeafPhotoA_2025-09-08 09_50_06.635,0.15,PI642791,2,NA,2
1017_LeafPhotoA_2025-09-08 09_50_29.293,0.13,PI642791,3,NA,3
1017_LeafPhotoA_2025-09-08 09_50_44.460,10.45,PI642791,2.5,NA,2.5
1018_LeafPhotoA_2025-09-08 09_51_38.144,0.21,NA,2.5,NA,2.5
1018_LeafPhotoA_2025-09-08 09_51_57.750,0.3,NA,2,NA,2
1019_LeafPhotoA_2025-09-08 09_52_21.687,8.98,PI534082,3.5,NA,3.5
1019_LeafPhotoA_2025-09-08 09_52_36.483,2.48,PI534082,3.5,NA,3.5
1019_LeafPhotoA_2025-09-08 09_52_56.602,11.77,PI534082,3,NA,3
1020_LeafPhotoA_2025-09-08 09_53_31.800,0.11,PI655999,1.5,NA,1.5
1020_LeafPhotoA_2025-09-08 09_53_44.483,0.46,PI655999,2.5,NA,2.5
1020_LeafPhotoA_2025-09-08 09_53_54.975,0.29,PI655999,2,NA,2
1021_LeafPhotoA_2025-09-08 09_54_18.191,0.24,PI534129,1,NA,1
1021_LeafPhotoA_2025-09-08 09_56_13.637,0.02,PI534129,2,NA,2
1021_LeafPhotoA_2025-09-08 09_56_28.590,0.04,PI534129,2.5,NA,2.5
1022_LeafPhotoA_2025-09-08 09_56_58.902,1.61,PI533985,3,NA,3
1022_LeafPhotoA_2025-09-08 09_57_13.943,0.02,PI533985,2,NA,2
1022_LeafPhotoA_2025-09-08 09_57_30.921,0.1,PI533985,1.5,1.5,1.5
1023_LeafPhotoA_2025-09-08 09_57_52.275,0.01,PI595717,1,1,1
1023_LeafPhotoA_2025-09-08 09_58_19.651,0.16,PI595717,3,NA,3
1023_LeafPhotoA_2025-09-08 09_58_33.821,0.97,PI595717,2,NA,2
1024_LeafPhotoA_2025-09-08 09_59_13.129,0.65,PI641874,3,NA,3
1024_LeafPhotoA_2025-09-08 09_59_38.426,3.25,PI641874,2.5,NA,2.5
1024_LeafPhotoA_2025-09-08 09_59_52.200,4.56,PI641874,3.5,NA,3.5
1025_LeafPhotoA_2025-09-08 10_00_36.145,0.12,PI656091,2.5,NA,2.5
1025_LeafPhotoA_2025-09-08 10_00_48.160,0.05,PI656091,1,NA,1
1025_LeafPhotoA_2025-09-08 10_01_00.108,0.02,PI656091,1.5,NA,1.5
1026_LeafPhotoA_2025-09-08 10_01_28.900,0.24,PI656070,2.5,NA,2.5
1026_LeafPhotoA_2025-09-08 10_01_43.312,0.03,PI656070,2.5,NA,2.5
1026_LeafPhotoA_2025-09-08 10_01_59.080,0.09,PI656070,1.5,2,1.75
1027_LeafPhotoA_2025-09-08 10_02_50.654,0.01,PI656040,2,NA,2
1027_LeafPhotoA_2025-09-08 10_03_06.832,0.28,PI656040,3,NA,3
1028_LeafPhotoA_2025-09-08 10_03_31.588,0.37,PI533767,2.5,NA,2.5
1028_LeafPhotoA_2025-09-08 10_03_47.511,2.1,PI533767,2,NA,2
1028_LeafPhotoA_2025-09-08 10_03_59.770,2.54,PI533767,2.5,NA,2.5
1029_LeafPhotoA_2025-09-08 10_04_31.255,0.11,PI576393,2.5,NA,2.5
1029_LeafPhotoA_2025-09-08 10_04_42.098,0.02,PI576393,1.5,NA,1.5
1029_LeafPhotoA_2025-09-08 10_04_56.323,0.05,PI576393,2,NA,2
1030_LeafPhotoA_2025-09-08 10_05_12.593,0.85,PI533899,1.5,3,2.25
1030_LeafPhotoA_2025-09-08 10_05_24.735,0.54,PI533899,2.5,NA,2.5
1030_LeafPhotoA_2025-09-08 10_05_38.200,0.26,PI533899,3,NA,3
1031_LeafPhotoA_2025-09-08 10_05_56.491,0.29,PI595728,1.5,2,1.75
1031_LeafPhotoA_2025-09-08 10_06_14.545,0.46,PI595728,2.5,NA,2.5
1031_LeafPhotoA_2025-09-08 10_06_33.217,0.01,PI595728,1.5,1.5,1.5
1032_LeafPhotoA_2025-09-08 10_07_00.646,0.69,PI329440,3,NA,3
1032_LeafPhotoA_2025-09-08 10_07_16.135,0.11,PI329440,1.5,NA,1.5
1032_LeafPhotoA_2025-09-08 10_07_30.322,0.23,PI329440,1.5,2,1.75
1033_LeafPhotoA_2025-09-08 10_08_09.974,0.35,PI534021,2.5,NA,2.5
1033_LeafPhotoA_2025-09-08 10_08_28.524,0.1,PI534021,1.5,NA,1.5
1033_LeafPhotoA_2025-09-08 10_08_54.253,0.03,PI534021,1.5,NA,1.5
1034_LeafPhotoA_2025-09-08 10_09_26.073,0.46,PI534120,2.5,NA,2.5
1034_LeafPhotoA_2025-09-08 10_10_03.182,0.71,PI534120,2,2,2
1034_LeafPhotoA_2025-09-08 10_10_16.663,0.15,PI534120,2,NA,2
1035_LeafPhotoA_2025-09-08 10_12_45.309,0.21,NA,2.5,NA,2.5
1035_LeafPhotoA_2025-09-08 10_12_59.269,0.18,NA,2.5,NA,2.5
1035_LeafPhotoA_2025-09-08 10_13_13.017,0.15,NA,1,NA,1
1036_LeafPhotoA_2025-09-08 10_13_37.325,0.08,PI576400,2,NA,2
1036_LeafPhotoA_2025-09-08 10_13_48.863,0.34,PI576400,2.5,NA,2.5
1036_LeafPhotoA_2025-09-08 10_14_00.627,0.71,PI576400,3,NA,3
1037_LeafPhotoA_2025-09-08 10_14_34.857,1.12,PI597943,2,2.5,2.25
1037_LeafPhotoA_2025-09-08 10_14_49.421,1.2,PI597943,3,NA,3
1037_LeafPhotoA_2025-09-08 10_15_09.536,3.21,PI597943,3,NA,3
1038_LeafPhotoA_2025-09-08 10_15_32.315,0.48,PI533768,1.5,2.5,2
1038_LeafPhotoA_2025-09-08 10_15_50.926,0.46,PI533768,2,NA,2
1038_LeafPhotoA_2025-09-08 10_16_04.977,0.17,PI533768,1.5,1.5,1.5
1039_LeafPhotoA_2025-09-08 10_16_33.293,1.87,PI533980,2.5,NA,2.5
1039_LeafPhotoA_2025-09-08 10_17_00.651,0.15,PI533980,2.5,NA,2.5
1039_LeafPhotoA_2025-09-08 10_17_11.743,0.02,PI533980,2.5,NA,2.5
1040_LeafPhotoA_2025-09-08 10_17_57.190,0.01,PI655995,2,NA,2
1040_LeafPhotoA_2025-09-08 10_18_12.445,0.04,PI655995,2.5,NA,2.5
1040_LeafPhotoA_2025-09-08 10_18_43.741,0.04,PI655995,2,NA,2
1041_LeafPhotoA_2025-09-08 10_19_07.539,0.63,PI656042,3,NA,3
1041_LeafPhotoA_2025-09-08 10_19_21.222,0.17,PI656042,2,NA,2
1041_LeafPhotoA_2025-09-08 10_19_35.997,0.15,PI656042,2,NA,2
1042_LeafPhotoA_2025-09-08 10_20_35.599,0.01,PI598069,1.5,NA,1.5
1042_LeafPhotoA_2025-09-08 10_20_51.175,0,PI598069,1.5,NA,1.5
1042_LeafPhotoA_2025-09-08 10_21_06.936,0,PI598069,1.5,NA,1.5
1043_LeafPhotoA_2025-09-08 10_21_32.723,0.49,PI533852,2,NA,2
1043_LeafPhotoA_2025-09-08 10_21_46.526,0.58,PI533852,2.5,3.5,3
1043_LeafPhotoA_2025-09-08 10_21_59.227,10.91,PI533852,3.5,NA,3.5
1044_LeafPhotoA_2025-09-08 10_22_48.871,3.78,PI597952,2.5,NA,2.5
1044_LeafPhotoA_2025-09-08 10_23_04.014,3.48,PI597952,3,NA,3
1044_LeafPhotoA_2025-09-08 10_23_47.531,1.53,PI597952,4,NA,4
1045_LeafPhotoA_2025-09-08 10_24_13.087,0.04,PI534140,2.5,NA,2.5
1045_LeafPhotoA_2025-09-08 10_24_25.395,0,PI534140,1,NA,1
1045_LeafPhotoA_2025-09-08 10_24_39.722,0,PI534140,1,1,1
1047_LeafPhotoA_2025-09-08 10_26_20.486,0.24,PI576435,2.5,NA,2.5
1047_LeafPhotoA_2025-09-08 10_26_48.305,0.27,PI576435,2.5,1.5,2
1047_LeafPhotoA_2025-09-08 10_27_02.535,0.06,PI576435,2,NA,2
1048_LeafPhotoA_2025-09-08 10_27_26.311,0.1,PI595741,1.5,1,1.25
1048_LeafPhotoA_2025-09-08 10_27_42.531,0.02,PI595741,1.5,NA,1.5
1048_LeafPhotoA_2025-09-08 10_27_55.320,0.03,PI595741,2,NA,2
1049_LeafPhotoA_2025-09-08 10_28_20.044,0.01,PI656073,2,NA,2
1049_LeafPhotoA_2025-09-08 10_28_40.680,0.01,PI656073,1.5,NA,1.5
1049_LeafPhotoA_2025-09-08 10_28_53.505,0,PI656073,2.5,NA,2.5
1050_LeafPhotoA_2025-09-08 10_29_26.585,0.13,PI576371,2,NA,2
1050_LeafPhotoA_2025-09-08 10_29_43.243,0.07,PI576371,1.5,NA,1.5
1050_LeafPhotoA_2025-09-08 10_29_56.473,0.53,PI576371,3,NA,3
1051_LeafPhotoA_2025-09-08 12_41_41.689,4.96,NA,1,NA,1
1051_LeafPhotoA_2025-09-08 12_41_54.794,1.72,NA,2.5,NA,2.5
1051_LeafPhotoA_2025-09-08 12_42_13.116,1,NA,1.5,1,1.25
1052_LeafPhotoA_2025-09-08 12_42_45.391,1.12,PI534068,3,NA,3
1052_LeafPhotoA_2025-09-08 12_42_57.295,2.48,PI534068,3,NA,3
1052_LeafPhotoA_2025-09-08 12_43_10.542,0.28,PI534068,2.5,NA,2.5
1053_LeafPhotoA_2025-09-08 12_43_28.443,2.45,PI534042,3,NA,3
1053_LeafPhotoA_2025-09-08 12_43_49.634,3.25,PI534042,2,3,2.5
1053_LeafPhotoA_2025-09-08 12_44_09.725,4.49,PI534042,3,NA,3
1054_LeafPhotoA_2025-09-08 12_44_38.059,0.62,PI656021,2,NA,2
1054_LeafPhotoA_2025-09-08 12_44_49.928,0.07,PI656021,1.5,NA,1.5
1054_LeafPhotoA_2025-09-08 12_45_31.324,0.45,PI656021,2.5,NA,2.5
1055_LeafPhotoA_2025-09-08 12_45_58.943,2.88,PI576335,2.5,NA,2.5
1055_LeafPhotoA_2025-09-08 12_46_11.865,0.7,PI576335,3,NA,3
1055_LeafPhotoA_2025-09-08 12_46_26.025,0.5,PI576335,3,NA,3
1056_LeafPhotoA_2025-09-08 12_46_55.383,3.07,PI576352,2.5,NA,2.5
1056_LeafPhotoA_2025-09-08 12_47_08.950,0.76,PI576352,2.5,NA,2.5
1056_LeafPhotoA_2025-09-08 12_47_21.347,0.63,PI576352,2.5,NA,2.5
1056_LeafPhotoA_2025-09-08 12_47_34.787,0.44,PI576352,1.5,2,1.75
1057_LeafPhotoA_2025-09-08 12_48_09.886,22.38,PI597977,4,4,4
1057_LeafPhotoA_2025-09-08 12_48_37.892,29.15,PI597977,4.5,NA,4.5
1057_LeafPhotoA_2025-09-08 12_49_00.094,8.52,PI597977,4,NA,4
1058_LeafPhotoA_2025-09-08 12_49_24.947,0.02,SC0445,2,NA,2
1058_LeafPhotoA_2025-09-08 12_50_17.103,0.77,SC0445,2,NA,2
1058_LeafPhotoA_2025-09-08 12_50_31.062,0.19,SC0445,2.5,NA,2.5
1059_LeafPhotoA_2025-09-08 12_51_02.759,1.6,PI534146,2.5,NA,2.5
1059_LeafPhotoA_2025-09-08 12_51_04.089,1.63,PI534146,2,NA,2
1059_LeafPhotoA_2025-09-08 12_51_19.205,0,PI534146,1,NA,1
1060_LeafPhotoA_2025-09-08 12_51_59.737,0,BTx645,1.5,NA,1.5
1060_LeafPhotoA_2025-09-08 12_52_11.188,0.01,BTx645,1.5,NA,1.5
1060_LeafPhotoA_2025-09-08 12_52_23.607,0.49,BTx645,2,NA,2
1061_LeafPhotoA_2025-09-08 12_52_48.432,0,PI656075,1,NA,1
1061_LeafPhotoA_2025-09-08 12_53_03.341,0.07,PI656075,1,NA,1
1061_LeafPhotoA_2025-09-08 12_53_18.379,0.04,PI656075,1.5,NA,1.5
1062_LeafPhotoA_2025-09-08 12_53_58.949,0.71,PI533790,3,NA,3
1062_LeafPhotoA_2025-09-08 12_54_11.961,4.01,PI533790,3,3.5,3.25
1062_LeafPhotoA_2025-09-08 12_54_24.608,1.29,PI533790,3,NA,3
1063_LeafPhotoA_2025-09-08 12_54_42.315,0.35,PI576411,2.5,NA,2.5
1063_LeafPhotoA_2025-09-08 12_54_53.990,0,PI576411,2,NA,2
1063_LeafPhotoA_2025-09-08 12_55_04.884,0.59,PI576411,2.5,NA,2.5
1064_LeafPhotoA_2025-09-08 12_55_47.422,3.47,PI597956,3.5,NA,3.5
1064_LeafPhotoA_2025-09-08 12_55_59.210,2.4,PI597956,2.5,NA,2.5
1064_LeafPhotoA_2025-09-08 12_56_11.568,26.74,PI597956,3,NA,3
1065_LeafPhotoA_2025-09-08 12_56_29.728,1.46,NA,3,NA,3
1065_LeafPhotoA_2025-09-08 12_56_50.799,0.63,NA,3.5,NA,3.5
1065_LeafPhotoA_2025-09-08 12_57_07.532,0.01,NA,1.5,1,1.25
1066_LeafPhotoA_2025-09-08 12_57_46.555,15.44,PI653617,4.5,NA,4.5
1066_LeafPhotoA_2025-09-08 12_58_11.508,0.95,PI653617,2.5,NA,2.5
1066_LeafPhotoA_2025-09-08 12_58_34.508,1.62,PI653617,3,NA,3
1067_LeafPhotoA_2025-09-08 12_59_01.810,1.67,PI533846,2,NA,2
1067_LeafPhotoA_2025-09-08 12_59_13.071,0.06,PI533846,1.5,1,1.25
1067_LeafPhotoA_2025-09-08 12_59_24.163,4.56,PI533846,2.5,NA,2.5
1069_LeafPhotoA_2025-09-08 13_00_37.435,0.04,SC0479,2.5,NA,2.5
1069_LeafPhotoA_2025-09-08 13_00_55.842,0.05,SC0479,2.5,NA,2.5
1069_LeafPhotoA_2025-09-08 13_01_10.484,3.28,SC0479,3,NA,3
1070_LeafPhotoA_2025-09-08 13_01_31.955,0.6,PI533859,1.5,1.5,1.5
1070_LeafPhotoA_2025-09-08 13_01_46.896,0.16,PI533859,2,NA,2
1070_LeafPhotoA_2025-09-08 13_01_59.089,1.13,PI533859,2.5,NA,2.5
1071_LeafPhotoA_2025-09-08 13_02_15.956,0.46,PI595718,2.5,NA,2.5
1071_LeafPhotoA_2025-09-08 13_02_28.154,2.49,PI595718,3.5,NA,3.5
1071_LeafPhotoA_2025-09-08 13_02_40.681,1.18,PI595718,3,NA,3
1072_LeafPhotoA_2025-09-08 13_03_12.392,7.32,PI534134,4,NA,4
1072_LeafPhotoA_2025-09-08 13_03_29.236,6.91,PI534134,2.5,2.5,2.5
1073_LeafPhotoA_2025-09-08 13_06_10.190,0.39,PI534086,2,2.5,2.25
1073_LeafPhotoA_2025-09-08 13_06_22.249,1.08,PI534086,3,NA,3
1073_LeafPhotoA_2025-09-08 13_06_37.638,0.67,PI534086,3,NA,3
1074_LeafPhotoA_2025-09-08 13_07_04.797,1.87,PI533934,2,NA,2
1074_LeafPhotoA_2025-09-08 13_07_19.185,0.2,PI533934,2.5,NA,2.5
1074_LeafPhotoA_2025-09-08 13_07_20.236,0.2,PI533934,2,NA,2
1074_LeafPhotoA_2025-09-08 13_07_35.831,0.03,PI533934,2,NA,2
1075_LeafPhotoA_2025-09-08 13_08_10.230,0.92,PI534053,2,2,2
1075_LeafPhotoA_2025-09-08 13_08_28.899,0.51,PI534053,2,2.5,2.25
1075_LeafPhotoA_2025-09-08 13_08_46.218,0.24,PI534053,2.5,NA,2.5
1076_LeafPhotoA_2025-09-08 13_09_02.306,0.15,NA,2.5,NA,2.5
1076_LeafPhotoA_2025-09-08 13_09_04.809,0.16,NA,2,NA,2
1076_LeafPhotoA_2025-09-08 13_09_14.610,0.32,NA,2,NA,2
1076_LeafPhotoA_2025-09-08 13_09_39.276,0.01,NA,2.5,NA,2.5
1077_LeafPhotoA_2025-09-08 13_10_03.609,0.01,PI533753,2.5,NA,2.5
1077_LeafPhotoA_2025-09-08 13_10_16.495,0.4,PI533753,2.5,2.5,2.5
1077_LeafPhotoA_2025-09-08 13_10_27.977,1.12,PI533753,3,NA,3
1078_LeafPhotoA_2025-09-08 13_10_47.187,5.11,PI534073,3.5,NA,3.5
1078_LeafPhotoA_2025-09-08 13_10_59.348,1.46,PI534073,3,NA,3
1079_LeafPhotoA_2025-09-08 13_11_39.389,0.05,PI653616,1.5,1.5,1.5
1079_LeafPhotoA_2025-09-08 13_12_23.319,0.14,PI653616,2,NA,2
1079_LeafPhotoA_2025-09-08 13_12_46.443,0.24,PI653616,2,NA,2
1080_LeafPhotoA_2025-09-08 13_13_10.878,8.61,PI533745,3,NA,3
1080_LeafPhotoA_2025-09-08 13_13_28.658,0.09,PI533745,1.5,NA,1.5
1080_LeafPhotoA_2025-09-08 13_13_48.454,1.81,PI533745,3,NA,3
1081_LeafPhotoA_2025-09-08 13_14_07.416,1.63,PI533778,3.5,2.5,3
1081_LeafPhotoA_2025-09-08 13_14_19.465,0.83,PI533778,3,NA,3
1081_LeafPhotoA_2025-09-08 13_14_31.503,0.22,PI533778,2,2,2
1082_LeafPhotoA_2025-09-08 13_15_14.529,1.83,PI533961,2.5,NA,2.5
1082_LeafPhotoA_2025-09-08 13_15_41.911,0.09,PI533961,2,NA,2
1082_LeafPhotoA_2025-09-08 13_16_01.725,0.19,PI533961,2.5,NA,2.5
1083_LeafPhotoA_2025-09-08 13_16_43.264,0,PI656076,1.5,NA,1.5
1083_LeafPhotoA_2025-09-08 13_16_45.891,0,PI656076,1.5,NA,1.5
1083_LeafPhotoA_2025-09-08 13_16_58.615,0,PI656076,1,NA,1
1083_LeafPhotoA_2025-09-08 13_17_11.784,0.01,PI656076,1.5,NA,1.5
1084_LeafPhotoA_2025-09-08 13_17_37.134,0.01,PI595739,1,NA,1
1084_LeafPhotoA_2025-09-08 13_17_51.731,0.11,PI595739,1.5,NA,1.5
1084_LeafPhotoA_2025-09-09 10_56_54.861,0,PI595739,1.5,NA,1.5
1084_LeafPhotoA_2025-09-09 10_57_11.618,0.05,PI595739,2,NA,2
1084_LeafPhotoA_2025-09-09 10_57_27.969,0.02,PI595739,1,NA,1
1085_LeafPhotoA_2025-09-09 10_57_52.246,0.06,PI576427,2.5,NA,2.5
1085_LeafPhotoA_2025-09-09 10_57_54.383,0.06,PI576427,2,NA,2
1085_LeafPhotoA_2025-09-09 10_58_08.346,0.1,PI576427,1.5,2.5,2
1085_LeafPhotoA_2025-09-09 10_58_22.092,0.12,PI576427,2,NA,2
1086_LeafPhotoA_2025-09-09 10_58_54.973,0.95,PI534144,2.5,2.5,2.5
1086_LeafPhotoA_2025-09-09 10_59_11.313,0.15,PI534144,1.5,2,1.75
1086_LeafPhotoA_2025-09-09 10_59_23.090,0.33,PI534144,2.5,NA,2.5
1087_LeafPhotoA_2025-09-09 10_59_43.217,0.02,NA,2.5,NA,2.5
1087_LeafPhotoA_2025-09-09 10_59_59.625,0.13,NA,1.5,NA,1.5
1087_LeafPhotoA_2025-09-09 11_00_11.411,0.11,NA,1.5,NA,1.5
1090_LeafPhotoA_2025-09-09 11_01_46.837,0.27,PI597969,2,2,2
1090_LeafPhotoA_2025-09-09 11_02_09.742,0.37,PI597969,2.5,NA,2.5
1090_LeafPhotoA_2025-09-09 11_02_26.123,0.1,PI597969,2,1,1.5
1091_LeafPhotoA_2025-09-09 11_02_49.148,0.09,PI656028,1.5,NA,1.5
1091_LeafPhotoA_2025-09-09 11_03_04.801,0.32,PI656028,1.5,NA,1.5
1091_LeafPhotoA_2025-09-09 11_03_16.259,0.08,PI656028,1.5,NA,1.5
1092_LeafPhotoA_2025-09-09 11_03_37.932,0.07,SC1446,3,NA,3
1092_LeafPhotoA_2025-09-09 11_03_50.695,0.45,SC1446,3,NA,3
1092_LeafPhotoA_2025-09-09 11_04_04.807,0.14,SC1446,1.5,NA,1.5
1093_LeafPhotoA_2025-09-09 11_04_37.753,18.24,SC0847,4,NA,4
1093_LeafPhotoA_2025-09-09 11_04_59.658,39.02,SC0847,4.5,NA,4.5
1099_LeafPhotoA_2025-09-08 12_37_28.231,0.02,PI656009,1.5,NA,1.5
1099_LeafPhotoA_2025-09-08 12_38_16.189,0.1,PI656009,1.5,NA,1.5
1099_LeafPhotoA_2025-09-08 12_38_29.235,0.12,PI656009,1.5,1,1.25
1100_LeafPhotoA_2025-09-08 12_40_34.567,9.41,PI656108,3,NA,3
1100_LeafPhotoA_2025-09-08 12_40_55.551,1.45,PI656108,2,NA,2
1100_LeafPhotoA_2025-09-08 12_41_10.019,2.21,PI656108,2.5,NA,2.5
1101_LeafPhotoA_2025-09-08 10_49_46.896,0.03,PI533823,1.5,NA,1.5
1101_LeafPhotoA_2025-09-08 10_50_13.286,6.42,PI533823,2.5,3,2.75
1101_LeafPhotoA_2025-09-08 10_50_38.365,0.14,PI533823,2.5,NA,2.5
1102_LeafPhotoA_2025-09-08 10_51_28.648,0.17,PI534152,2,NA,2
1102_LeafPhotoA_2025-09-08 10_51_55.982,1.78,PI534152,1.5,NA,1.5
1102_LeafPhotoA_2025-09-08 10_52_30.639,1.22,PI534152,2.5,NA,2.5
1103_LeafPhotoA_2025-09-08 09_16_38.476,0.22,PI576417,3,NA,3
1103_LeafPhotoA_2025-09-08 09_18_21.849,0.2,PI576417,2.5,NA,2.5
1103_LeafPhotoA_2025-09-08 09_19_25.768,0.19,PI576417,2,NA,2
1104_LeafPhotoA_2025-09-08 09_36_16.822,0,PI656038,1,NA,1
1104_LeafPhotoA_2025-09-08 09_36_42.090,0,PI656038,1,NA,1
1104_LeafPhotoA_2025-09-08 09_37_08.525,0,PI656038,2.5,NA,2.5
1105_LeafPhotoA_2025-09-08 09_38_06.236,0,PI595735,1.5,NA,1.5
1105_LeafPhotoA_2025-09-08 09_38_45.129,1.01,PI595735,1,NA,1
1105_LeafPhotoA_2025-09-08 09_39_17.312,0.07,PI595735,2,NA,2
1106_LeafPhotoA_2025-09-08 09_40_59.164,5.62,SC0371,3.5,NA,3.5
1106_LeafPhotoA_2025-09-08 09_41_24.337,4.8,SC0371,3,NA,3
1107_LeafPhotoA_2025-09-08 09_44_03.594,0.02,SC0458,1.5,NA,1.5
1108_LeafPhotoA_2025-09-08 09_44_49.552,0.39,PI533873,2,NA,2
1108_LeafPhotoA_2025-09-08 09_45_17.923,0.22,PI533873,1.5,NA,1.5
1108_LeafPhotoA_2025-09-08 09_45_37.921,0.15,PI533873,2.5,NA,2.5
1109_LeafPhotoA_2025-09-08 09_47_24.655,0.46,NA,2.5,NA,2.5
1109_LeafPhotoA_2025-09-08 09_47_58.332,0.3,NA,2.5,NA,2.5
1109_LeafPhotoA_2025-09-08 09_48_18.960,0.31,NA,3,NA,3
1110_LeafPhotoA_2025-09-08 09_48_54.489,0.25,PI533951,2.5,NA,2.5
1110_LeafPhotoA_2025-09-08 09_49_27.638,0.19,PI533951,2.5,NA,2.5
1110_LeafPhotoA_2025-09-08 09_49_57.248,0.8,PI533951,2.5,NA,2.5
1111_LeafPhotoA_2025-09-08 09_50_44.488,0.02,PI656098,2,NA,2
1111_LeafPhotoA_2025-09-08 09_51_27.996,0.26,PI656098,3,NA,3
1111_LeafPhotoA_2025-09-08 09_52_01.440,0.51,PI656098,3,NA,3
1112_LeafPhotoA_2025-09-08 09_52_56.205,0.3,PI24969,2.5,NA,2.5
1112_LeafPhotoA_2025-09-08 09_53_21.075,0,PI24969,1,NA,1
1112_LeafPhotoA_2025-09-08 09_53_39.737,0.15,PI24969,1.5,NA,1.5
1113_LeafPhotoA_2025-09-08 09_54_19.069,0,PI598070,2.5,NA,2.5
1113_LeafPhotoA_2025-09-08 09_54_47.376,0,PI598070,1.5,1.5,1.5
1113_LeafPhotoA_2025-09-08 09_55_09.635,0,PI598070,2.5,NA,2.5
