hotspot,response_embedding,predictor_embedding,n,raw_spearman_r,raw_spearman_p,partial_r,partial_p,pct_of_raw_removed_by_covariates,response_R2_by_covariates,predictor_R2_by_covariates
2:52490664:GGAGT:G,dino2:embedding_mean_274,dino2:embedding_std_274,891,0.626997066277562,1.6476523313356744e-98,0.3402198310767176,1.3953400613664975e-25,0.4573821005310613,0.45095900620866813,0.4458994725923633
2:52490664:GGAGT:G,dino2:embedding_mean_274,dino2:embedding_std_405,891,0.08863947243551214,0.008112461672210969,-0.10241144362455412,0.0022081855464634085,-0.15537063579729105,0.45095900620866813,0.20055017139150055
2:52490664:GGAGT:G,dino2:embedding_mean_274,dino2:embedding_std_550,891,0.30605597467087864,8.926909514951226e-21,0.2166846922508464,6.28952621581939e-11,0.29200959895044953,0.45095900620866813,0.07045102357459954
2:52490664:GGAGT:G,dino2:embedding_mean_274,dino2:embedding_std_828,891,0.44444598824102016,1.9754041481739105e-44,0.23262948257953278,2.053072412562876e-12,0.4765854822985165,0.45095900620866813,0.21738693949649412
2:52490664:GGAGT:G,dino2:embedding_mean_274,dino2:embedding_std_837,891,0.3755153014839617,3.2147100206203845e-31,0.2551040693108623,1.0557159490201163e-14,0.32065599376978293,0.45095900620866813,0.11753722449038695
2:52490664:GGAGT:G,dino2:embedding_mean_274,dino2:embedding_std_909,891,0.45256802077984115,3.3669260069410096e-46,0.2226528755483145,1.8008424186092786e-11,0.5080234012897091,0.45095900620866813,0.23351235555549754
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_mean_106,891,-0.5369847684958281,1.066430185868907e-67,-0.2032095420858081,9.287924745042586e-10,0.621572986781306,0.45095900620866813,0.418679680995357
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_mean_108,891,-0.40655820053713937,8.679557100102091e-37,-0.21167694329769726,1.747196607217844e-10,0.4793440569688855,0.45095900620866813,0.2406758578755569
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_mean_119,891,0.4867026863247954,3.557850619055703e-54,0.1965360202636864,3.2969986424776452e-09,0.5961887497523891,0.45095900620866813,0.3376691139800174
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_mean_201,891,-0.43972256448701247,2.0058660959129345e-43,-0.12883422878410303,0.00011509909548297492,0.707010194179134,0.45095900620866813,0.3198227810741199
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_mean_433,891,0.4917764840423176,1.9352788146946173e-55,0.11353437770635004,0.0006858240217600463,0.769134187195945,0.45095900620866813,0.43876321130957596
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_mean_597,891,0.3087031786432199,3.982051440905635e-21,0.1465458182694307,1.1234980695639762e-05,0.525285684088147,0.45095900620866813,0.19145795367603546
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_mean_711,891,-0.39896122848206284,2.2734140377758364e-35,-0.1788826248738008,7.637122588963678e-08,0.5516290503856736,0.45095900620866813,0.22127865326348217
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_mean_776,891,-0.1895876519346061,1.1773465944420385e-08,-0.06455943946101847,0.05405699963180728,0.6594744499326002,0.45095900620866813,0.09081419878322106
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_mean_883,891,-0.5613719533556284,4.004012858123626e-75,-0.29320376104468304,4.0032197622532525e-19,0.47770144323733454,0.45095900620866813,0.3509972323641489
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_124,891,0.3712176941481118,1.705798397811954e-30,0.179984398127068,6.332231183447257e-08,0.5151513492908659,0.45095900620866813,0.17466987467202943
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_161,891,0.4549858946190885,9.80600487089314e-47,0.14941628272658597,7.502023590893456e-06,0.6716023848350807,0.45095900620866813,0.3581861612708622
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_166,891,0.5491846124536204,2.4537166096663614e-71,0.24602920505523812,9.451464253040811e-14,0.5520100172580569,0.45095900620866813,0.37797820399285176
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_20,891,0.4857845345173404,5.994314714241903e-54,0.19115732247271366,8.867634817960457e-09,0.6064977188649258,0.45095900620866813,0.315325058089054
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_244,891,0.5211727798466348,3.3646644522881503e-63,0.28889824500963923,1.3717342981628641e-18,0.4456766427927161,0.45095900620866813,0.2563253324870698
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_252,891,0.3552397558494197,6.795591719088696e-28,0.18682825596494107,1.9266094689553715e-08,0.4740784135542123,0.45095900620866813,0.16329745774595872
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_270,891,0.6460248849829139,2.1917825179873177e-106,0.3281445384714546,8.203939079663812e-24,0.4920558849987128,0.45095900620866813,0.5184867394525794
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_314,891,0.16002335374028828,1.5795284342868747e-06,0.10119315852070243,0.002493715175327844,0.36763505978674205,0.45095900620866813,0.038543941167875184
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_320,891,0.30013071376501615,5.278639514523287e-20,0.18972538914984335,1.1485348533997651e-08,0.3678574686015419,0.45095900620866813,0.10281544437814583
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_322,891,0.3498892962136777,4.681675609890067e-27,0.16793097952722283,4.6193735877079894e-07,0.5200453933730307,0.45095900620866813,0.14812278964808268
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_337,891,0.2622181744215301,1.7805935218633358e-15,0.08729855843637989,0.009129941070581129,0.6670766294938708,0.45095900620866813,0.13603930048418023
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_342,891,0.5084355759268844,9.602829903478679e-60,0.19143300502501603,8.434925030339494e-09,0.623486211254924,0.45095900620866813,0.36460045928604257
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_391,891,0.31502215857030186,5.606259333204565e-22,0.07927691359882477,0.017943115165116104,0.7483449610065034,0.45095900620866813,0.16522601022271244
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_395,891,0.3286394961862287,6.966914935308154e-24,0.16078060307451297,1.4076425955389003e-06,0.5107690799787371,0.45095900620866813,0.13260361119789343
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_422,891,0.24152673677538894,2.715125110272719e-13,0.17012287389166847,3.251462023122317e-07,0.2956354391113373,0.45095900620866813,0.09464393538566451
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_466,891,0.49102999902113115,2.979278743850848e-55,0.2889938910015271,1.3350199582661682e-18,0.4114536961537243,0.45095900620866813,0.27298010070001266
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_480,891,0.42345725948285523,4.46231009913303e-40,0.1630807768012087,9.88753436645181e-07,0.6148825574501422,0.45095900620866813,0.25578301674382165
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_489,891,0.5125128953667271,7.801183413273755e-61,0.2633401727249963,1.3381036366940655e-15,0.486178445253433,0.45095900620866813,0.28917076200835845
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_523,891,0.37710432620998446,1.7233851403834836e-31,0.08050548702316473,0.01623509363341031,0.7865166707784292,0.45095900620866813,0.2558928150861596
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_528,891,0.5016603277700672,5.777123303233096e-58,0.19151771899585002,8.30612534401918e-09,0.6182322810991127,0.45095900620866813,0.3526685026642967
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_533,891,0.4096255377204639,2.2668245032653012e-37,0.2291319183802742,4.446931522706373e-12,0.44063077791639527,0.45095900620866813,0.1877715783684677
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_545,891,0.48337020632077815,2.345272552236518e-53,0.16346952489818364,9.310004003935508e-07,0.6618129897942021,0.45095900620866813,0.35877003004576347
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_567,891,0.5677989990430158,3.475786825747756e-77,0.19707195143723832,2.982867127521573e-09,0.6529195159389346,0.45095900620866813,0.49700422535982436
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_677,891,0.47533194595219075,2.0366787455336135e-51,0.18900685584206056,1.3067394410842846e-08,0.602368707906977,0.45095900620866813,0.31042940584787404
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_767,891,0.39914222590697623,2.105311885372511e-35,0.22231452356141768,1.9350242739347454e-11,0.4430192820209653,0.45095900620866813,0.18541178748879883
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_771,891,0.4596594418683399,8.78361831081811e-48,0.23226355602158122,2.227294902346238e-12,0.4947051341368761,0.45095900620866813,0.2308023100954809
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_792,891,0.4259856080836581,1.3840687310967727e-40,0.1618163480335419,1.2013810936345124e-06,0.6201365845163407,0.45095900620866813,0.24085071198727492
2:52490664:GGAGT:G,dino2:embedding_mean_274,sam3:embedding_std_796,891,0.4727818824105416,8.189598402367667e-51,0.24566378595135008,1.0304779585995238e-13,0.4803866326289822,0.45095900620866813,0.24353571096463678
