genotype,peak_dose,single_plant_panicle_dry_weight_g
PI656048,0,77.67
PI656049,0,54.3
PI656050,0,83.18
PI656051,0,83.92
PI656052,0,51.74
PI656053,0,64.75
PI656055,0,81.24
PI656056,0,74.2
PI656057,0,53.44
PI656058,0,58.47
PI656059,0,20.69
PI656060,0,51.76
PI656061,0,76.76
PI656062,0,72.07
PI656064,2,121.79
PI656065,0,55.66
PI656066,0,130.9
PI656068,0,86.72
PI656069,0,22.31
PI656070,0,57.7
PI656071,0,48.48
PI656072,0,65.78
PI656073,0,57.76
PI656074,0,60.8
PI656075,0,73.5
PI656076,0,75.01
PI656077,0,44.98
PI656078,0,13.48
PI656079,0,38.17
PI656082,0,87.45
PI656083,0,81.17
PI656085,0,63.8
PI656086,0,96.74
PI656087,0,58.05
PI656088,0,81.45
PI656091,0,16.15
PI656092,0,86.43
PI656093,0,74.9
PI656094,0,52.83
PI656095,0,97.16
PI656097,0,21.91
PI656098,0,64.3
PI656099,0,89.75
PI656100,0,24.3
PI656101,0,67.51
PI656102,0,61.46
PI656103,2,86.8
PI656104,0,39.57
PI656105,0,44.92
PI656106,0,64.92
PI656107,0,25.8
PI656108,2,63.03
PI656109,0,39.85
PI656111,0,49.7
PI656112,0,91.6
PI656118,0,84.84
PI656120,0,52.0
PI656121,0,52.464
PI659691,0,16.6
PI659694,0,66.3
PI659695,0,83.94
PI659696,0,86.412
PI659753,0,33.9
PI533755,0,46.7
PI576350,0,23.67
PI576366,0,14.2
PI576385,0,67.7
PI576391,0,50.36
PI585291,0,69.75
PI642793,0,80.99
PI656090,0,54.65
PI656110,0,28.96
PI656115,0,34.44
PI561472,0,76.58000000000001
PI656013,2,136.23999999999998
PI656014,0,61.99
PI656032,0,58.64
PI656113,0,16.75
PI656114,0,71.2
