environment,genotype,embedding_mean_30,embedding_std_897
Nebraska2025,PI533970,-0.00116157989053,0.9051945740150328
Nebraska2025,PI533971,0.04757350457922443,0.8851684774244811
Nebraska2025,PI533972,-0.02011358278461517,0.8607265458302045
Nebraska2025,PI533973,-0.17461657598324715,0.8126615912188282
Nebraska2025,PI533974,-0.06613657222662986,0.8951503072169683
Nebraska2025,PI533975,-0.14307863378730318,0.8752815241736187
Nebraska2025,PI533976,-0.04597205090972312,0.8381332156435181
Nebraska2025,PI533977,-0.12477875688800508,0.8040100225334856
Nebraska2025,PI533978,-0.1268478074163878,0.8473673574660426
Nebraska2025,PI533979,-0.1986756443357331,0.829701573258648
Nebraska2025,PI533980,-0.09010712667900043,0.845510296297973
Nebraska2025,PI533981,-0.1344552141929613,0.8334714869769202
Nebraska2025,PI533982,-0.09069964340710676,0.8489310946036586
Nebraska2025,PI533983,0.01051930282909979,0.8931253081547755
Nebraska2025,PI533984,-0.2225512103949516,0.8356749043676618
Nebraska2025,PI533985,-0.12454365817791944,0.8465481358774092
Nebraska2025,PI533986,-0.13037345842140663,0.8671795139466681
Nebraska2025,PI533987,-0.09953513021416414,0.8213786165639948
Nebraska2025,PI533988,-0.2870376666628638,0.8169818625033127
Nebraska2025,PI533989,-0.01746570183597801,0.8342528639261403
Nebraska2025,PI533990,-0.20838269622306685,0.8229268461422595
Nebraska2025,PI533991,-0.08199843097034944,0.8566787391258643
Nebraska2025,PI533992,-0.01060059379701991,0.8977151351664329
Nebraska2025,PI533993,-0.1599935336757725,0.8469979308593499
Nebraska2025,PI533994,-0.13153964481477182,0.8125382720335381
Nebraska2025,PI533995,-0.09300593161504794,0.838741189395671
Nebraska2025,PI533996,0.01351536142733758,0.8154417154427616
Nebraska2025,PI533997,-0.14896615557997284,0.8574207112273198
Nebraska2025,PI533998,-0.2111171322339004,0.8250214543895229
Nebraska2025,PI533999,-0.10673688447881824,0.8512458057860519
Nebraska2025,PI534000,-0.2279495137304067,0.8278683199006036
Nebraska2025,PI534001,-0.07352658443253689,0.8567297173803026
Nebraska2025,PI534002,-0.17700669801740956,0.8656148384221146
Nebraska2025,PI534003,-0.1434274023241353,0.8324375776561607
Nebraska2025,PI534004,-0.18653025781799185,0.8362821875423558
Nebraska2025,PI534006,-0.01681462792764948,0.888841993614694
Nebraska2025,PI534007,-0.13225326740974178,0.7838491122877693
Nebraska2025,PI534008,-0.12531580065803727,0.8282567222291927
