image_path,image_id,plotNumber,environment
images/1064_LeafPhotoA_2025-09-08 12_56_11.568-05_00.jpg,1064_LeafPhotoA_2025-09-08 12_56_11.568-05_00,1064,Nebraska2025
images/1286_LeafPhotoA_2025-09-08 16_01_17.344-05_00.jpg,1286_LeafPhotoA_2025-09-08 16_01_17.344-05_00,1286,Nebraska2025
images/1391_LeafPhotoA_2025-09-08 13_11_35.950-05_00.jpg,1391_LeafPhotoA_2025-09-08 13_11_35.950-05_00,1391,Nebraska2025
images/1459_LeafPhotoB_2025-09-08 12_35_29.491-05_00.jpg,1459_LeafPhotoB_2025-09-08 12_35_29.491-05_00,1459,Nebraska2025
images/1896_LeafPhotoA_2025-09-09 12_57_03.176-05_00.jpg,1896_LeafPhotoA_2025-09-09 12_57_03.176-05_00,1896,Nebraska2025
