trait,source,proportion_variance,broad_sense_h2,heritability_method,model
IC7,Residual,0.4299862368531236,0.0521882316730674,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC7,Spatial Factors,0.5195620051935532,0.0521882316730674,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC8,Environment,0.14673042808631193,0.217557717291068,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC8,Genotype,0.14600935866708842,0.217557717291068,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC8,Residual,0.6577413986032574,0.217557717291068,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC8,Spatial Factors,0.04951881464334231,0.217557717291068,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC9,Environment,0.02464836147493821,0.287945640966383,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC9,Genotype,0.18931819973960218,0.287945640966383,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC9,Residual,0.6850420856921077,0.287945640966383,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC9,Spatial Factors,0.10099135309335204,0.287945640966383,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC10,Environment,0.22583655556503807,0.144674323153874,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC10,Genotype,0.10401247375710573,0.144674323153874,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC10,Residual,0.5621156333805104,0.144674323153874,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
IC10,Spatial Factors,0.10803533729734582,0.144674323153874,mixedlm_reml_lme4_like,trait ~ log_estimated_leaf_area_scaled + (1|environment) + (1|row) + (1|column) + (1|genotype)
