genotype,total_plot_dry_weight_g
PI656024,5791.0364
PI656025,6769.7864
PI656026,8231.2926
PI656027,9144.969
PI656028,13679.0021
PI656029,7024.1703
PI656030,3913.2414
PI656031,8237.775
PI656032,7409.4269
PI656033,7980.0828
PI656034,7755.45
PI656035,11751.9567
PI656036,8592.3276
PI656037,6373.8667
PI656038,11531.8618
PI656039,7975.0274
PI656040,3681.15
PI656041,4932.9143
PI656042,6338.3405
PI656043,6061.9636
PI656044,8526.2375
PI656046,9489.1636
PI656047,9661.7278
PI656048,7633.75
PI656049,10802.315
PI656050,10951.9468
PI656051,8523.63
PI656052,4892.6122
PI656053,6093.3871
PI656055,6444.3118
PI656056,8608.32
PI656057,8613.0554
PI656058,5321.24
PI656059,9262.4506
PI656060,7082.9191
PI656061,5599.2986
PI656062,7514.9038
PI656065,11613.7248
PI656068,7504.5135
PI656069,7686.63
PI656070,6287.88
PI656071,11465.4034
PI656072,8427.0649
PI656073,7502.3375
PI656074,13681.8641
PI656075,6365.683
PI656076,8905.0568
PI656077,8397.76
PI656078,5358.2941
PI656079,7631
PI656080,10171.5289
PI656081,7388.9714
PI656082,6086.3343
PI656083,7973.1489
PI656084,7320
PI656085,5465.5714
PI656086,6892.16
PI656087,6028
PI656088,8905.6071
PI656089,9779.5556
PI656090,6761.8163
PI656091,5524.3222
PI656092,8125.9055
PI656093,6990.3367
PI656094,10858.0947
PI656095,6984.7915
PI656096,2825.9097
PI656097,9017.7273
PI656098,7745.8636
PI656099,10271.1086
PI656100,5333.4362
PI656101,9363.1655
PI656102,9875.1429
PI656103,8213.0081
PI656104,4687.9128
PI656105,7585.1
PI656106,7368.7056
PI656107,7843.451
PI656108,5579.6053
PI656109,3864.5842
PI656110,3880.102
PI656111,10204.7912
PI656112,5558.2385
PI656113,5758.1816
PI656114,3898.135
PI656115,6286.2694
PI656116,5366.6667
PI656117,7595.5548
PI656118,6842.2468
PI656119,5870.564
PI656120,4649.8
PI656121,7462.9953
PI659691,8691.3976
PI659693,2729.7522
PI659694,4715.2
PI659695,8583.818
PI659696,8148.06
PI659753,10682.7481
