image_id,image_path,environment,plotNumber,genotype,estimated_leaf_area,log_estimated_leaf_area,sam3_n_crops,leaf_area_segmentation_method,leaf_area_status
10113_LeafPhotoA_2025-10-15 15_55_46.981,data/externalsourcerequired/aamu2025/block1/10113_LeafPhotoA_2025-10-15 15_55_46.981-05_00.jpg,Alabama2025,10113,,2800291,14.84523389831666,4,CV2,ok
10113_LeafPhotoA_2025-10-15 15_56_02.121,data/externalsourcerequired/aamu2025/block1/10113_LeafPhotoA_2025-10-15 15_56_02.121-05_00.jpg,Alabama2025,10113,,2463860,14.717239783839515,4,CV2,ok
10113_LeafPhotoA_2025-10-15 15_56_13.335,data/externalsourcerequired/aamu2025/block1/10113_LeafPhotoA_2025-10-15 15_56_13.335-05_00.jpg,Alabama2025,10113,,2670057,14.797610378463167,4,CV2,ok
10114_LeafPhotoA_2025-10-15 15_56_27.232,data/externalsourcerequired/aamu2025/block1/10114_LeafPhotoA_2025-10-15 15_56_27.232-05_00.jpg,Alabama2025,10114,PI595741,1482807,14.20944747104606,4,CV2,ok
10114_LeafPhotoA_2025-10-15 15_56_37.086,data/externalsourcerequired/aamu2025/block1/10114_LeafPhotoA_2025-10-15 15_56_37.086-05_00.jpg,Alabama2025,10114,PI595741,1255715,14.0432156894341,4,CV2,ok
10114_LeafPhotoA_2025-10-15 15_56_49.259,data/externalsourcerequired/aamu2025/block1/10114_LeafPhotoA_2025-10-15 15_56_49.259-05_00.jpg,Alabama2025,10114,PI595741,1539989,14.247285831507158,4,CV2,ok
10115_LeafPhotoA_2025-10-15 15_57_10.761,data/externalsourcerequired/aamu2025/block1/10115_LeafPhotoA_2025-10-15 15_57_10.761-05_00.jpg,Alabama2025,10115,,1864668,14.438593579127518,4,CV2,ok
10115_LeafPhotoA_2025-10-15 15_57_24.327,data/externalsourcerequired/aamu2025/block1/10115_LeafPhotoA_2025-10-15 15_57_24.327-05_00.jpg,Alabama2025,10115,,1539594,14.247029303268,4,CV2,ok
10115_LeafPhotoA_2025-10-15 15_57_35.705,data/externalsourcerequired/aamu2025/block1/10115_LeafPhotoA_2025-10-15 15_57_35.705-05_00.jpg,Alabama2025,10115,,1396468,14.149456749675899,4,CV2,ok
10116_LeafPhotoA_2025-10-15 15_58_10.709,data/externalsourcerequired/aamu2025/block1/10116_LeafPhotoA_2025-10-15 15_58_10.709-05_00.jpg,Alabama2025,10116,,2585296,14.765350566139093,4,CV2,ok
10116_LeafPhotoA_2025-10-15 15_58_20.712,data/externalsourcerequired/aamu2025/block1/10116_LeafPhotoA_2025-10-15 15_58_20.712-05_00.jpg,Alabama2025,10116,,2355526,14.672274615057495,0,CV2,failed_cropping
10116_LeafPhotoA_2025-10-15 15_58_29.918,data/externalsourcerequired/aamu2025/block1/10116_LeafPhotoA_2025-10-15 15_58_29.918-05_00.jpg,Alabama2025,10116,,1521502,14.235208562810577,4,CV2,ok
10117_LeafPhotoA_2025-10-15 15_58_43.136,data/externalsourcerequired/aamu2025/block1/10117_LeafPhotoA_2025-10-15 15_58_43.136-05_00.jpg,Alabama2025,10117,PI656109,2198078,14.60309390012225,4,CV2,ok
10117_LeafPhotoA_2025-10-15 15_58_52.617,data/externalsourcerequired/aamu2025/block1/10117_LeafPhotoA_2025-10-15 15_58_52.617-05_00.jpg,Alabama2025,10117,PI656109,2142836,14.577640743295829,4,CV2,ok
10117_LeafPhotoA_2025-10-15 15_59_01.619,data/externalsourcerequired/aamu2025/block1/10117_LeafPhotoA_2025-10-15 15_59_01.619-05_00.jpg,Alabama2025,10117,PI656109,2142211,14.577349031207522,4,CV2,ok
10118_LeafPhotoA_2025-10-15 15_59_42.916,data/externalsourcerequired/aamu2025/block1/10118_LeafPhotoA_2025-10-15 15_59_42.916-05_00.jpg,Alabama2025,10118,PI659693,1393657,14.147441785506858,4,CV2,ok
10118_LeafPhotoA_2025-10-15 15_59_52.780,data/externalsourcerequired/aamu2025/block1/10118_LeafPhotoA_2025-10-15 15_59_52.780-05_00.jpg,Alabama2025,10118,PI659693,2444196,14.70922679245741,4,CV2,ok
10118_LeafPhotoA_2025-10-15 16_00_05.527,data/externalsourcerequired/aamu2025/block1/10118_LeafPhotoA_2025-10-15 16_00_05.527-05_00.jpg,Alabama2025,10118,PI659693,2065205,14.54074005305772,4,CV2,ok
10119_LeafPhotoA_2025-10-15 16_00_22.895,data/externalsourcerequired/aamu2025/block1/10119_LeafPhotoA_2025-10-15 16_00_22.895-05_00.jpg,Alabama2025,10119,PI533839,2535646,14.745958994890314,4,CV2,ok
10119_LeafPhotoA_2025-10-15 16_00_32.862,data/externalsourcerequired/aamu2025/block1/10119_LeafPhotoA_2025-10-15 16_00_32.862-05_00.jpg,Alabama2025,10119,PI533839,2692987,14.80616154445197,4,CV2,ok
10119_LeafPhotoA_2025-10-15 16_00_41.875,data/externalsourcerequired/aamu2025/block1/10119_LeafPhotoA_2025-10-15 16_00_41.875-05_00.jpg,Alabama2025,10119,PI533839,2756378,14.829428057008291,4,CV2,ok
10120_LeafPhotoA_2025-10-15 16_01_10.291,data/externalsourcerequired/aamu2025/block1/10120_LeafPhotoA_2025-10-15 16_01_10.291-05_00.jpg,Alabama2025,10120,PI533965,0,,0,SAM3,failed_segmentation
10120_LeafPhotoA_2025-10-15 16_01_20.953,data/externalsourcerequired/aamu2025/block1/10120_LeafPhotoA_2025-10-15 16_01_20.953-05_00.jpg,Alabama2025,10120,PI533965,4514596,15.322826261316957,4,CV2,ok
10120_LeafPhotoA_2025-10-15 16_01_29.753,data/externalsourcerequired/aamu2025/block1/10120_LeafPhotoA_2025-10-15 16_01_29.753-05_00.jpg,Alabama2025,10120,PI533965,4504006,15.320477780949977,4,CV2,ok
10121_LeafPhotoA_2025-10-15 16_01_43.873,data/externalsourcerequired/aamu2025/block1/10121_LeafPhotoA_2025-10-15 16_01_43.873-05_00.jpg,Alabama2025,10121,PI533903,1734293,14.366110395519957,4,CV2,ok
10121_LeafPhotoA_2025-10-15 16_02_08.657,data/externalsourcerequired/aamu2025/block1/10121_LeafPhotoA_2025-10-15 16_02_08.657-05_00.jpg,Alabama2025,10121,PI533903,2295960,14.64666161466705,4,CV2,ok
10121_LeafPhotoA_2025-10-15 16_02_17.000,data/externalsourcerequired/aamu2025/block1/10121_LeafPhotoA_2025-10-15 16_02_17.000-05_00.jpg,Alabama2025,10121,PI533903,1750704,14.37552855071878,4,CV2,ok
10123_LeafPhotoA_2025-10-15 16_02_58.040,data/externalsourcerequired/aamu2025/block1/10123_LeafPhotoA_2025-10-15 16_02_58.040-05_00.jpg,Alabama2025,10123,PI576434,1790543,14.398029483770344,4,CV2,ok
10123_LeafPhotoA_2025-10-15 16_03_12.588,data/externalsourcerequired/aamu2025/block1/10123_LeafPhotoA_2025-10-15 16_03_12.588-05_00.jpg,Alabama2025,10123,PI576434,2142358,14.577417649544655,4,CV2,ok
10123_LeafPhotoA_2025-10-15 16_03_20.972,data/externalsourcerequired/aamu2025/block1/10123_LeafPhotoA_2025-10-15 16_03_20.972-05_00.jpg,Alabama2025,10123,PI576434,1982903,14.500072490521351,4,CV2,ok
10124_LeafPhotoA_2025-10-15 16_03_32.023,data/externalsourcerequired/aamu2025/block1/10124_LeafPhotoA_2025-10-15 16_03_32.023-05_00.jpg,Alabama2025,10124,,1997215,14.507264268095108,4,CV2,ok
10124_LeafPhotoA_2025-10-15 16_03_40.696,data/externalsourcerequired/aamu2025/block1/10124_LeafPhotoA_2025-10-15 16_03_40.696-05_00.jpg,Alabama2025,10124,,1782074,14.393288412525555,4,CV2,ok
10124_LeafPhotoA_2025-10-15 16_03_49.545,data/externalsourcerequired/aamu2025/block1/10124_LeafPhotoA_2025-10-15 16_03_49.545-05_00.jpg,Alabama2025,10124,,1820559,14.41465415475141,4,CV2,ok
10125_LeafPhotoA_2025-10-15 16_04_29.865,data/externalsourcerequired/aamu2025/block1/10125_LeafPhotoA_2025-10-15 16_04_29.865-05_00.jpg,Alabama2025,10125,PI35038,2462197,14.71656459877236,4,CV2,ok
10125_LeafPhotoA_2025-10-15 16_04_39.548,data/externalsourcerequired/aamu2025/block1/10125_LeafPhotoA_2025-10-15 16_04_39.548-05_00.jpg,Alabama2025,10125,PI35038,2079781,14.547773157672744,4,CV2,ok
10125_LeafPhotoA_2025-10-15 16_04_49.077,data/externalsourcerequired/aamu2025/block1/10125_LeafPhotoA_2025-10-15 16_04_49.077-05_00.jpg,Alabama2025,10125,PI35038,2319203,14.656734150138245,4,CV2,ok
10126_LeafPhotoA_2025-10-15 16_05_28.604,data/externalsourcerequired/aamu2025/block1/10126_LeafPhotoA_2025-10-15 16_05_28.604-05_00.jpg,Alabama2025,10126,PI656015,2424455,14.701117314827352,4,CV2,ok
10126_LeafPhotoA_2025-10-15 16_05_38.406,data/externalsourcerequired/aamu2025/block1/10126_LeafPhotoA_2025-10-15 16_05_38.406-05_00.jpg,Alabama2025,10126,PI656015,2276292,14.638058361254059,4,CV2,ok
10126_LeafPhotoA_2025-10-15 16_05_53.886,data/externalsourcerequired/aamu2025/block1/10126_LeafPhotoA_2025-10-15 16_05_53.886-05_00.jpg,Alabama2025,10126,PI656015,2041587,14.529238004557476,4,CV2,ok
10127_LeafPhotoA_2025-10-15 16_06_13.777,data/externalsourcerequired/aamu2025/block1/10127_LeafPhotoA_2025-10-15 16_06_13.777-05_00.jpg,Alabama2025,10127,PI656091,5018404,15.428622512831147,4,CV2,ok
