image_path,image_id,plotNumber,environment,ExG_P20_disease_pct
1013_LeafPhotoA_2025-09-08 09_45_36.458-05_00_leaf.png,1013_LeafPhotoA_2025-09-08 09_45_36.458-05_00,1013,Nebraska2025,0.0
1014_LeafPhotoA_2025-09-08 09_46_05.675-05_00_leaf.png,1014_LeafPhotoA_2025-09-08 09_46_05.675-05_00,1014,Nebraska2025,15.35
1014_LeafPhotoA_2025-09-08 09_46_27.231-05_00_leaf.png,1014_LeafPhotoA_2025-09-08 09_46_27.231-05_00,1014,Nebraska2025,1.62
1014_LeafPhotoA_2025-09-08 09_46_45.331-05_00_leaf.png,1014_LeafPhotoA_2025-09-08 09_46_45.331-05_00,1014,Nebraska2025,6.6
1015_LeafPhotoA_2025-09-08 09_47_54.758-05_00_leaf.png,1015_LeafPhotoA_2025-09-08 09_47_54.758-05_00,1015,Nebraska2025,0.03
1015_LeafPhotoA_2025-09-08 09_48_10.333-05_00_leaf.png,1015_LeafPhotoA_2025-09-08 09_48_10.333-05_00,1015,Nebraska2025,0.23
1015_LeafPhotoA_2025-09-08 09_48_38.527-05_00_leaf.png,1015_LeafPhotoA_2025-09-08 09_48_38.527-05_00,1015,Nebraska2025,0.14
1016_LeafPhotoA_2025-09-08 09_49_16.143-05_00_leaf.png,1016_LeafPhotoA_2025-09-08 09_49_16.143-05_00,1016,Nebraska2025,0.88
1016_LeafPhotoA_2025-09-08 09_49_32.371-05_00_leaf.png,1016_LeafPhotoA_2025-09-08 09_49_32.371-05_00,1016,Nebraska2025,0.07
1016_LeafPhotoA_2025-09-08 09_49_45.693-05_00_leaf.png,1016_LeafPhotoA_2025-09-08 09_49_45.693-05_00,1016,Nebraska2025,0.11
1017_LeafPhotoA_2025-09-08 09_50_06.635-05_00_leaf.png,1017_LeafPhotoA_2025-09-08 09_50_06.635-05_00,1017,Nebraska2025,0.15
1017_LeafPhotoA_2025-09-08 09_50_29.293-05_00_leaf.png,1017_LeafPhotoA_2025-09-08 09_50_29.293-05_00,1017,Nebraska2025,0.13
1017_LeafPhotoA_2025-09-08 09_50_44.460-05_00_leaf.png,1017_LeafPhotoA_2025-09-08 09_50_44.460-05_00,1017,Nebraska2025,10.45
1018_LeafPhotoA_2025-09-08 09_51_38.144-05_00_leaf.png,1018_LeafPhotoA_2025-09-08 09_51_38.144-05_00,1018,Nebraska2025,0.21
1018_LeafPhotoA_2025-09-08 09_51_57.750-05_00_leaf.png,1018_LeafPhotoA_2025-09-08 09_51_57.750-05_00,1018,Nebraska2025,0.3
1019_LeafPhotoA_2025-09-08 09_52_21.687-05_00_leaf.png,1019_LeafPhotoA_2025-09-08 09_52_21.687-05_00,1019,Nebraska2025,8.98
1019_LeafPhotoA_2025-09-08 09_52_36.483-05_00_leaf.png,1019_LeafPhotoA_2025-09-08 09_52_36.483-05_00,1019,Nebraska2025,2.48
1019_LeafPhotoA_2025-09-08 09_52_56.602-05_00_leaf.png,1019_LeafPhotoA_2025-09-08 09_52_56.602-05_00,1019,Nebraska2025,11.77
1020_LeafPhotoA_2025-09-08 09_53_31.800-05_00_leaf.png,1020_LeafPhotoA_2025-09-08 09_53_31.800-05_00,1020,Nebraska2025,0.11
1020_LeafPhotoA_2025-09-08 09_53_44.483-05_00_leaf.png,1020_LeafPhotoA_2025-09-08 09_53_44.483-05_00,1020,Nebraska2025,0.46
1020_LeafPhotoA_2025-09-08 09_53_54.975-05_00_leaf.png,1020_LeafPhotoA_2025-09-08 09_53_54.975-05_00,1020,Nebraska2025,0.29
1021_LeafPhotoA_2025-09-08 09_54_18.191-05_00_leaf.png,1021_LeafPhotoA_2025-09-08 09_54_18.191-05_00,1021,Nebraska2025,0.24
