genotype,mask_pixels_blue,days_to_flower_blue
PI533993,3257103.187662237,57.78449961758676
PI533994,3834017.8699676343,66.24624362276131
PI533995,3178597.061571513,49.43305049698799
PI533996,3074393.174219454,54.41358118401183
PI533997,2782133.6134439507,57.1840186741155
PI533998,3158083.7336703893,
PI533999,3061294.1703730575,62.89032573660427
PI534000,4176055.783347205,
PI534001,3569755.81146598,68.90971872008382
PI534002,2828713.2120135333,53.74684992439147
PI534003,3375584.800492232,
PI534004,4389722.252399841,63.19344505749751
PI534006,4072491.0833509015,70.35388864666919
PI534007,3759745.9244861715,55.05660335358771
PI534008,2827441.0307231215,62.62049454813078
PI534009,4057148.0528224795,70.57504359758272
PI534010,3717951.343013201,66.83851078611097
PI534011,3749856.991221297,68.05372450443018
PI534013,3806501.1352389595,65.85957001548772
PI534014,3987666.3612823132,67.67511201828506
PI534015,4513433.4570865985,62.40805247418656
PI534016,4185581.335333566,67.69223245423714
PI534017,3748582.958357546,59.05531442083081
PI534018,3702187.0155067355,60.3271480484739
PI534019,2761973.7012907565,67.89608343491939
PI534020,4359703.922595414,69.15928051508985
PI534021,3764292.6123862863,69.07443729595258
PI534022,3620281.886155812,65.59549652532935
PI534023,4652829.513187864,70.11743216469404
PI534024,4309653.503170353,71.62993117609477
PI534025,4870538.804246269,69.5485731077452
PI534026,3678311.3430535914,59.53039272752599
PI534027,4291525.837193298,67.38926579233717
PI534028,4088405.1306130984,62.01046977191291
PI534030,3465532.073223021,64.20526143777144
PI534031,3885930.61603722,68.04857310774521
PI534032,5190698.876119482,62.70533776726803
PI534033,4188615.7114804285,66.75495649973058
PI534034,4629544.872729686,61.81631528297045
PI534035,4245634.050990948,68.4688812852929
PI534036,4771526.243675319,68.38638694317963
PI534037,2116498.391706868,59.2428348014702
PI534038,3822770.2803614656,67.56587707797652
PI534039,4265737.850286111,
PI534040,4583946.388095617,58.78957468477516
PI534041,4517138.181015551,68.07610354184982
PI534042,3080030.089257776,50.374947876046
PI534043,3603137.0827038866,61.5463005602178
PI534044,3805105.726119482,54.90911241845362
PI534045,2844388.774110199,53.11962838272487
PI534046,3621409.274379158,53.85328234503904
PI534047,2846389.0003649667,49.08046510262544
PI534048,4408586.086155813,
