image_path,image_id,plotNumber,environment,block,row,column,genotype,device,estimated_leaf_area,sam3_n_crops,leaf_area_segmentation_method,leaf_area_status
data/externalsourcerequired/aamu2025/block1/10113_LeafPhotoA_2025-10-15 15_56_02.121-05_00.jpg,10113_LeafPhotoA_2025-10-15 15_56_02.121,10113,Alabama2025,1.0,1,13,,AL1,2463860,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10113_LeafPhotoA_2025-10-15 15_56_13.335-05_00.jpg,10113_LeafPhotoA_2025-10-15 15_56_13.335,10113,Alabama2025,1.0,1,13,,AL1,2670057,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10114_LeafPhotoA_2025-10-15 15_56_27.232-05_00.jpg,10114_LeafPhotoA_2025-10-15 15_56_27.232,10114,Alabama2025,1.0,1,14,PI595741,AL1,1482807,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10114_LeafPhotoA_2025-10-15 15_56_37.086-05_00.jpg,10114_LeafPhotoA_2025-10-15 15_56_37.086,10114,Alabama2025,1.0,1,14,PI595741,AL1,1255715,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10114_LeafPhotoA_2025-10-15 15_56_49.259-05_00.jpg,10114_LeafPhotoA_2025-10-15 15_56_49.259,10114,Alabama2025,1.0,1,14,PI595741,AL1,1539989,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10115_LeafPhotoA_2025-10-15 15_57_10.761-05_00.jpg,10115_LeafPhotoA_2025-10-15 15_57_10.761,10115,Alabama2025,1.0,1,15,,AL1,1864668,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10115_LeafPhotoA_2025-10-15 15_57_24.327-05_00.jpg,10115_LeafPhotoA_2025-10-15 15_57_24.327,10115,Alabama2025,1.0,1,15,,AL1,1539594,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10115_LeafPhotoA_2025-10-15 15_57_35.705-05_00.jpg,10115_LeafPhotoA_2025-10-15 15_57_35.705,10115,Alabama2025,1.0,1,15,,AL1,1396468,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10116_LeafPhotoA_2025-10-15 15_58_10.709-05_00.jpg,10116_LeafPhotoA_2025-10-15 15_58_10.709,10116,Alabama2025,1.0,1,16,,AL1,2585296,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10116_LeafPhotoA_2025-10-15 15_58_20.712-05_00.jpg,10116_LeafPhotoA_2025-10-15 15_58_20.712,10116,Alabama2025,1.0,1,16,,AL1,2355526,0,CV2,failed_cropping
data/externalsourcerequired/aamu2025/block1/10116_LeafPhotoA_2025-10-15 15_58_29.918-05_00.jpg,10116_LeafPhotoA_2025-10-15 15_58_29.918,10116,Alabama2025,1.0,1,16,,AL1,1521502,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10117_LeafPhotoA_2025-10-15 15_58_43.136-05_00.jpg,10117_LeafPhotoA_2025-10-15 15_58_43.136,10117,Alabama2025,1.0,1,17,PI656109,AL1,2198078,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10117_LeafPhotoA_2025-10-15 15_58_52.617-05_00.jpg,10117_LeafPhotoA_2025-10-15 15_58_52.617,10117,Alabama2025,1.0,1,17,PI656109,AL1,2142836,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10117_LeafPhotoA_2025-10-15 15_59_01.619-05_00.jpg,10117_LeafPhotoA_2025-10-15 15_59_01.619,10117,Alabama2025,1.0,1,17,PI656109,AL1,2142211,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10118_LeafPhotoA_2025-10-15 15_59_42.916-05_00.jpg,10118_LeafPhotoA_2025-10-15 15_59_42.916,10118,Alabama2025,1.0,1,18,PI659693,AL1,1393657,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10118_LeafPhotoA_2025-10-15 15_59_52.780-05_00.jpg,10118_LeafPhotoA_2025-10-15 15_59_52.780,10118,Alabama2025,1.0,1,18,PI659693,AL1,2444196,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10118_LeafPhotoA_2025-10-15 16_00_05.527-05_00.jpg,10118_LeafPhotoA_2025-10-15 16_00_05.527,10118,Alabama2025,1.0,1,18,PI659693,AL1,2065205,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10119_LeafPhotoA_2025-10-15 16_00_22.895-05_00.jpg,10119_LeafPhotoA_2025-10-15 16_00_22.895,10119,Alabama2025,1.0,1,19,PI533839,AL1,2535646,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10119_LeafPhotoA_2025-10-15 16_00_32.862-05_00.jpg,10119_LeafPhotoA_2025-10-15 16_00_32.862,10119,Alabama2025,1.0,1,19,PI533839,AL1,2692987,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10119_LeafPhotoA_2025-10-15 16_00_41.875-05_00.jpg,10119_LeafPhotoA_2025-10-15 16_00_41.875,10119,Alabama2025,1.0,1,19,PI533839,AL1,2756378,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10120_LeafPhotoA_2025-10-15 16_01_10.291-05_00.jpg,10120_LeafPhotoA_2025-10-15 16_01_10.291,10120,Alabama2025,1.0,1,20,PI533965,AL1,0,0,SAM3,failed_segmentation
data/externalsourcerequired/aamu2025/block1/10120_LeafPhotoA_2025-10-15 16_01_20.953-05_00.jpg,10120_LeafPhotoA_2025-10-15 16_01_20.953,10120,Alabama2025,1.0,1,20,PI533965,AL1,4514596,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10120_LeafPhotoA_2025-10-15 16_01_29.753-05_00.jpg,10120_LeafPhotoA_2025-10-15 16_01_29.753,10120,Alabama2025,1.0,1,20,PI533965,AL1,4504006,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10121_LeafPhotoA_2025-10-15 16_01_43.873-05_00.jpg,10121_LeafPhotoA_2025-10-15 16_01_43.873,10121,Alabama2025,1.0,1,21,PI533903,AL1,1734293,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10121_LeafPhotoA_2025-10-15 16_02_08.657-05_00.jpg,10121_LeafPhotoA_2025-10-15 16_02_08.657,10121,Alabama2025,1.0,1,21,PI533903,AL1,2295960,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10121_LeafPhotoA_2025-10-15 16_02_17.000-05_00.jpg,10121_LeafPhotoA_2025-10-15 16_02_17.000,10121,Alabama2025,1.0,1,21,PI533903,AL1,1750704,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10123_LeafPhotoA_2025-10-15 16_02_58.040-05_00.jpg,10123_LeafPhotoA_2025-10-15 16_02_58.040,10123,Alabama2025,1.0,1,23,PI576434,AL1,1790543,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10123_LeafPhotoA_2025-10-15 16_03_12.588-05_00.jpg,10123_LeafPhotoA_2025-10-15 16_03_12.588,10123,Alabama2025,1.0,1,23,PI576434,AL1,2142358,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10123_LeafPhotoA_2025-10-15 16_03_20.972-05_00.jpg,10123_LeafPhotoA_2025-10-15 16_03_20.972,10123,Alabama2025,1.0,1,23,PI576434,AL1,1982903,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10124_LeafPhotoA_2025-10-15 16_03_32.023-05_00.jpg,10124_LeafPhotoA_2025-10-15 16_03_32.023,10124,Alabama2025,1.0,1,24,,AL1,1997215,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10124_LeafPhotoA_2025-10-15 16_03_40.696-05_00.jpg,10124_LeafPhotoA_2025-10-15 16_03_40.696,10124,Alabama2025,1.0,1,24,,AL1,1782074,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10124_LeafPhotoA_2025-10-15 16_03_49.545-05_00.jpg,10124_LeafPhotoA_2025-10-15 16_03_49.545,10124,Alabama2025,1.0,1,24,,AL1,1820559,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10125_LeafPhotoA_2025-10-15 16_04_29.865-05_00.jpg,10125_LeafPhotoA_2025-10-15 16_04_29.865,10125,Alabama2025,1.0,1,25,PI35038,AL1,2462197,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10125_LeafPhotoA_2025-10-15 16_04_39.548-05_00.jpg,10125_LeafPhotoA_2025-10-15 16_04_39.548,10125,Alabama2025,1.0,1,25,PI35038,AL1,2079781,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10125_LeafPhotoA_2025-10-15 16_04_49.077-05_00.jpg,10125_LeafPhotoA_2025-10-15 16_04_49.077,10125,Alabama2025,1.0,1,25,PI35038,AL1,2319203,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10126_LeafPhotoA_2025-10-15 16_05_28.604-05_00.jpg,10126_LeafPhotoA_2025-10-15 16_05_28.604,10126,Alabama2025,1.0,1,26,PI656015,AL1,2424455,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10126_LeafPhotoA_2025-10-15 16_05_38.406-05_00.jpg,10126_LeafPhotoA_2025-10-15 16_05_38.406,10126,Alabama2025,1.0,1,26,PI656015,AL1,2276292,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10126_LeafPhotoA_2025-10-15 16_05_53.886-05_00.jpg,10126_LeafPhotoA_2025-10-15 16_05_53.886,10126,Alabama2025,1.0,1,26,PI656015,AL1,2041587,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10127_LeafPhotoA_2025-10-15 16_06_13.777-05_00.jpg,10127_LeafPhotoA_2025-10-15 16_06_13.777,10127,Alabama2025,1.0,1,27,PI656091,AL1,5018404,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10127_LeafPhotoA_2025-10-15 16_06_24.573-05_00.jpg,10127_LeafPhotoA_2025-10-15 16_06_24.573,10127,Alabama2025,1.0,1,27,PI656091,AL1,4851412,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10127_LeafPhotoA_2025-10-15 16_06_33.305-05_00.jpg,10127_LeafPhotoA_2025-10-15 16_06_33.305,10127,Alabama2025,1.0,1,27,PI656091,AL1,4917957,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10201_LeafPhotoA_2025-10-21 16_03_53.256-05_00.jpg,10201_LeafPhotoA_2025-10-21 16_03_53.256,10201,Alabama2025,1.0,2,1,PI533964,AL1,1654025,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10201_LeafPhotoA_2025-10-21 16_04_22.515-05_00.jpg,10201_LeafPhotoA_2025-10-21 16_04_22.515,10201,Alabama2025,1.0,2,1,PI533964,AL1,1509412,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10201_LeafPhotoA_2025-10-21 16_04_48.639-05_00.jpg,10201_LeafPhotoA_2025-10-21 16_04_48.639,10201,Alabama2025,1.0,2,1,PI533964,AL1,1732631,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10202_LeafPhotoA_2025-10-21 16_05_52.777-05_00.jpg,10202_LeafPhotoA_2025-10-21 16_05_52.777,10202,Alabama2025,1.0,2,2,PI534128,AL1,2224493,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10202_LeafPhotoA_2025-10-21 16_06_13.338-05_00.jpg,10202_LeafPhotoA_2025-10-21 16_06_13.338,10202,Alabama2025,1.0,2,2,PI534128,AL1,2412446,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10202_LeafPhotoA_2025-10-21 16_06_34.888-05_00.jpg,10202_LeafPhotoA_2025-10-21 16_06_34.888,10202,Alabama2025,1.0,2,2,PI534128,AL1,2430842,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10203_LeafPhotoA_2025-10-21 16_07_33.915-05_00.jpg,10203_LeafPhotoA_2025-10-21 16_07_33.915,10203,Alabama2025,1.0,2,3,PI533822,AL1,2264539,0,CV2,failed_cropping
data/externalsourcerequired/aamu2025/block1/10203_LeafPhotoA_2025-10-21 16_07_53.919-05_00.jpg,10203_LeafPhotoA_2025-10-21 16_07_53.919,10203,Alabama2025,1.0,2,3,PI533822,AL1,2321302,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10203_LeafPhotoA_2025-10-21 16_08_06.205-05_00.jpg,10203_LeafPhotoA_2025-10-21 16_08_06.205,10203,Alabama2025,1.0,2,3,PI533822,AL1,2321554,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10204_LeafPhotoA_2025-10-21 16_09_45.838-05_00.jpg,10204_LeafPhotoA_2025-10-21 16_09_45.838,10204,Alabama2025,1.0,2,4,PI564164,AL1,1712843,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10204_LeafPhotoA_2025-10-21 16_10_11.988-05_00.jpg,10204_LeafPhotoA_2025-10-21 16_10_11.988,10204,Alabama2025,1.0,2,4,PI564164,AL1,1688125,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10204_LeafPhotoA_2025-10-21 16_10_46.513-05_00.jpg,10204_LeafPhotoA_2025-10-21 16_10_46.513,10204,Alabama2025,1.0,2,4,PI564164,AL1,1615212,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10205_LeafPhotoA_2025-10-21 16_11_17.349-05_00.jpg,10205_LeafPhotoA_2025-10-21 16_11_17.349,10205,Alabama2025,1.0,2,5,PI576386,AL1,0,0,SAM3,failed_segmentation
