n,pearson_r,pearson_p,pearson_r2,spearman_r,spearman_p,spearman_r2,rmse,mae,fold,evaluation_unit,n_features,n_genotypes_train,n_genotypes_test,best_params
1032,0.7444621823643505,6.581985066795078e-183,0.5542239409706914,0.7031105619922839,1.0576009876590597e-154,0.49436446238510534,0.5071698367183638,0.41811774605616503,1,image,1024,805,149,"{""rf__bootstrap"": true, ""rf__max_depth"": 37, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 300}"
1032,0.7674229788540978,4.702707319853106e-201,0.5889380284732971,0.7328826750494967,1.7688712067976045e-174,0.5371170153877062,0.4962364464436274,0.40594002435562593,2,image,1024,758,196,"{""rf__bootstrap"": false, ""rf__max_depth"": 64, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 800}"
1032,0.7858767372785,3.1275028044054197e-217,0.6176022461955006,0.777477745062369,1.1244225354449171e-209,0.6044716440672661,0.5018067803633259,0.4030734446255241,3,image,1024,751,203,"{""rf__bootstrap"": true, ""rf__max_depth"": 64, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 1000}"
1032,0.7660451532423632,6.60387101390925e-200,0.5868251768061158,0.7282106565323399,3.3479215010289214e-171,0.5302907602872614,0.48178893558975516,0.39609122066184316,4,image,1024,751,203,"{""rf__bootstrap"": false, ""rf__max_depth"": 28, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 1000}"
1031,0.7900868125112214,6.178135666340072e-221,0.6242371713041419,0.7640201411368964,4.813360067564813e-198,0.5837267760628432,0.4758738973490426,0.38765515867875006,5,image,1024,751,203,"{""rf__bootstrap"": false, ""rf__max_depth"": 82, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 2, ""rf__n_estimators"": 900}"
