n,pearson_r,pearson_p,pearson_r2,spearman_r,spearman_p,spearman_r2,rmse,mae,fold,evaluation_unit,n_features,n_genotypes_train,n_genotypes_test,best_params
1020,0.7462607386554837,3.9046509225758e-182,0.5569050900586281,0.7091644857212756,1.072317241888136e-156,0.5029142678083213,0.5345870862685596,0.44654372091280725,1,image,1024,805,149,"{""rf__bootstrap"": true, ""rf__max_depth"": 37, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 300}"
1020,0.7451549894213629,2.5907949671660736e-181,0.5552559582595515,0.6885616619499054,3.104885146116281e-144,0.47411716230721584,0.507055726695762,0.4249579970792832,2,image,1024,759,195,"{""rf__bootstrap"": false, ""rf__max_depth"": 64, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 800}"
1020,0.7567902523770987,3.510912556252348e-190,0.5727314860929928,0.7496794085949176,1.0553019990482292e-184,0.5620192156712254,0.5069063936800217,0.4148665783485859,3,image,1024,751,203,"{""rf__bootstrap"": true, ""rf__max_depth"": 64, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 1000}"
1020,0.7340543996585419,2.7185119951780418e-173,0.5388358616580624,0.7072803667123104,1.6409793596666055e-155,0.5002455171367003,0.5204371397860765,0.4227220726047798,4,image,1024,751,203,"{""rf__bootstrap"": false, ""rf__max_depth"": 28, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 5, ""rf__n_estimators"": 1000}"
1020,0.7872306773784069,5.85078186459449e-216,0.6197321394056654,0.7654779578103569,3.891559775611736e-197,0.5859565038935145,0.5219335421871629,0.43154123270189365,5,image,1024,750,204,"{""rf__bootstrap"": false, ""rf__max_depth"": 82, ""rf__max_features"": ""sqrt"", ""rf__min_samples_leaf"": 10, ""rf__min_samples_split"": 2, ""rf__n_estimators"": 900}"
